year	month	day	hour	min	sec	latitude	longitude	depth	magnitude	magtype	eventID
2017	1	5	1	31	43	3.3535	127.9394	81.75	4.6	Mb	2.01701E+11
2017	1	5	3	23	54	-22.5968	-12.6473	10	5.3	Mb	2.01701E+11
2017	1	5	6	17	8	3.9692	128.7362	10	4.5	Mb	2.01701E+11
2017	1	5	6	44	36	3.6256	122.6846	568.82	4.7	Mb	2.01701E+11
2017	1	5	7	52	59	37.4495	71.4964	34.37	4.6	Mb	2.01701E+11
2017	1	5	10	42	43	26.0058	128.7038	10	4.9	Mb	2.01701E+11
2017	1	5	11	17	35	-41.8341	174.0614	17.04	5.4	Mw	2.01701E+11
2017	1	5	13	44	52	-19.1707	176.1048	10	4.9	Mb	2.01701E+11
2017	1	5	14	20	14	-15.0568	-173.4973	10	4.5	Mb	2.01701E+11
2017	1	5	17	39	12	38.6598	142.3334	31.16	4.6	Mb	2.01701E+11
2017	1	5	20	13	30	-54.1126	-2.0627	10	4.6	Mb	2.01701E+11
2017	1	5	23	23	2	-19.1152	176.3079	10	4.8	Mb	2.01701E+11
2017	1	6	1	12	4	-5.7124	153.0943	10	4.6	Mb	2.01701E+11
2017	1	6	2	33	29	28.1998	53.1071	10	5	Mw	2.01701E+11
2017	1	6	6	15	56	-2.8283	101.4996	91.8	4.8	Mb	2.01701E+11
2017	1	6	6	30	35	-22.3176	-67.795	172	5.8	Mw	2.01701E+11
2017	1	6	9	4	30	29.1453	130.4252	10	4.7	Mb	2.01701E+11
2017	1	6	10	24	59	1.5272	98.1363	42.4	5.1	Mw	2.01701E+11
2017	1	6	10	33	41	3.7227	128.5404	10	4.8	Mb	2.01701E+11
2017	1	6	11	3	33	1.4191	98.0653	56.68	4.8	Mb	2.01701E+11
2017	1	6	12	59	29	-19.3552	-175.7157	184.33	4.6	Mb	2.01701E+11
2017	1	6	13	14	52	6.5022	125.9423	59.01	4.6	Mb	2.01701E+11
2017	1	6	15	48	59	50.1348	-130.0784	10	5.3	Mw	2.01701E+11
2017	1	6	16	46	11	-37.8907	177.6819	53.2	4.9	Mw	2.01701E+11
2017	1	6	16	52	23	50.2529	-129.8802	10	4.6	Mw	2.01701E+11
2017	1	6	16	52	58	21.4138	144.894	35	4.7	Mb	2.01701E+11
2017	1	6	19	6	24	-18.4574	-177.6829	574.66	4.7	Mb	2.01701E+11
2017	1	6	19	31	27	-24.7693	-179.9523	533.47	4.7	Mb	2.01701E+11
2017	1	6	20	39	51	-17.9187	-13.4097	10	4.9	Mb	2.01701E+11
2017	1	6	20	55	39	-11.1013	162.9919	37.21	4.6	Mb	2.01701E+11
2017	1	6	22	55	34	-11.3197	-78.193	37.91	5.1	Mb	2.01701E+11
2017	1	6	23	25	55	-15.303	-174.0331	10	4.5	Mb	2.01701E+11
2017	1	6	23	36	16	-15.1821	-174.0532	10	4.6	Mb	2.01701E+11
2017	1	7	2	38	31	5.6588	126.5902	61.9	4.8	Mb	2.01701E+11
2017	1	7	2	46	42	-13.2738	167.2066	179.97	4.6	Mb	2.01701E+11
2017	1	7	3	13	54	50.2065	-130.1516	10	5.4	Mw	2.01701E+11
2017	1	7	3	17	40	50.0377	-130.3129	10	4.8	Mw	2.01701E+11
2017	1	7	3	23	57	50.0737	-130.0516	10	4.6	Mw	2.01701E+11
2017	1	7	3	38	9	-6.358	103.8547	42.28	4.7	Mb	2.01701E+11
2017	1	7	4	34	21	18.6522	145.6321	194.23	4.5	Mb	2.01701E+11
2017	1	7	4	56	10	-28.8177	-67.3701	124.34	4.5	Mb	2.01701E+11
2017	1	7	5	31	29	-37.2955	179.061	10	4.5	Mb	2.01701E+11
2017	1	7	6	16	38	16.2096	-98.7018	27.46	4.7	Mb	2.01701E+11
2017	1	7	6	32	37	50.08	-130.1524	10	4.6	Mw	2.01701E+11
2017	1	7	7	24	43	-10.7175	66.8168	10	4.6	Mb	2.01701E+11
2017	1	7	8	23	23	-42.4458	173.9407	6.66	4.5	Mb	2.01701E+11
2017	1	7	8	36	15	39.4928	73.4065	35.96	4.5	Mb	2.01701E+11
2017	1	7	9	12	0	-9.3195	120.2104	76.4	5.2	Mw	2.01701E+11
2017	1	7	9	50	19	27.8943	128.0257	34.81	4.6	Mb	2.01701E+11
2017	1	7	9	58	18	-33.9974	178.8398	119.96	4.5	Mb	2.01701E+11
2017	1	7	12	25	24	1.8038	127.1172	71.32	4.6	Mb	2.01701E+11
2017	1	7	13	27	23	13.5329	-91.21	43.88	4.9	Mb	2.01701E+11
2017	1	7	15	33	42	-4.4747	151.5532	39.72	4.5	Mb	2.01701E+11
2017	1	7	16	4	54	-7.8437	-75.5479	39.7	4.9	Mb	2.01701E+11
2017	1	7	17	19	36	-17.2936	-174.1885	94.78	4.7	Mb	2.01701E+11
2017	1	7	17	56	29	9.5512	126.5037	37.48	4.5	Mb	2.01701E+11
2017	1	7	23	19	47	36.8955	68.4194	14.04	4.9	Mb	2.01701E+11
2017	1	8	0	33	48	-30.1501	-72.187	10	4.8	Mw	2.01701E+11
2017	1	8	1	4	43	-24.0543	-66.8507	185.67	5	Mb	2.01701E+11
2017	1	8	2	46	49	-3.2312	135.6759	31.76	4.6	Mb	2.01701E+11
2017	1	8	4	19	46	-3.8564	-12.1244	10	5	Mb	2.01701E+11
2017	1	8	7	47	24	4.1918	126.8367	20.56	4.5	Mb	2.01701E+11
2017	1	8	8	52	8	-6.2269	147.4769	61	5.9	Mw	2.01701E+11
2017	1	8	9	25	45	-7.5045	128.4131	158.36	4.6	Mb	2.01701E+11
2017	1	8	11	41	6	21.4914	145.4358	47.46	5	Mb	2.01701E+11
2017	1	8	12	16	2	16.4965	-96.2836	43.32	4.5	Mb	2.01701E+11
2017	1	8	13	31	26	31.7739	72.156	10	4.5	Mb	2.01701E+11
2017	1	8	14	20	6	-54.327	-135.8585	10	5.6	Mw	2.01701E+11
2017	1	8	16	7	33	0.8206	126.4387	35.27	4.5	Mb	2.01701E+11
2017	1	8	16	21	30	0.8972	-26.8543	10	4.9	Mb	2.01701E+11
2017	1	8	17	57	24	-6.2388	147.6149	87.37	4.5	Mb	2.01701E+11
2017	1	8	18	25	59	11.7081	-86.1759	115.58	4.6	Mb	2.01701E+11
2017	1	8	20	24	21	-17.5392	-178.5287	543.8	4.6	Mb	2.01701E+11
2017	1	8	23	47	14	74.3906	-92.4257	31	6	Mw	2.01701E+11
2017	1	9	0	37	6	-21.9861	-179.4109	583.18	4.9	Mb	2.01701E+11
2017	1	9	0	51	50	-60.5272	159.9388	10	5.2	Mb	2.01701E+11
2017	1	9	2	13	42	-7.5605	128.3752	160.41	4.6	Mb	2.01701E+11
2017	1	9	3	14	25	-15.2596	-174.8638	231.78	4.9	Mb	2.01701E+11
2017	1	9	3	24	41	-12.0607	166.5999	64.59	4.7	Mb	2.01701E+11
2017	1	9	5	59	10	36.9069	68.3142	25.83	5.2	Mw	2.01701E+11
2017	1	9	6	12	17	-49.1741	124.9115	10	4.5	Mb	2.01701E+11
2017	1	9	9	20	16	18.067	120.5605	36.86	4.8	Mb	2.01701E+11
2017	1	9	9	44	15	18.779	145.6184	201.47	4.5	Mb	2.01701E+11
2017	1	9	9	53	18	38.4167	21.7834	10	4.8	Mw	2.01701E+11
2017	1	9	10	27	32	15.296	-91.8189	190.73	4.6	Mb	2.01701E+11
2017	1	9	11	28	36	-1.7147	100.3498	44	5.4	Mw	2.01701E+11
2017	1	9	12	41	30	2.4428	127.2089	66.71	5	Mb	2.01701E+11
2017	1	9	13	32	43	3.7576	128.5187	48.35	4.5	Mb	2.01701E+11
2017	1	9	17	55	35	74.3294	-92.2486	18	5.2	Mb	2.01701E+11
2017	1	9	18	20	43	-10.7373	161.6314	35.87	4.9	Mb	2.01701E+11
2017	1	9	19	20	3	53.0856	-169.8673	80.62	5.2	Mw	2.01701E+11
2017	1	10	2	51	51	-38.5799	175.9164	187.05	4.5	Mb	2.01701E+11
2017	1	10	3	1	32	-48.7795	126.4062	10	5.2	Mb	2.01701E+11
2017	1	10	4	53	55	-15.7257	-72.1102	3.9	4.5	Mw	2.01701E+11
2017	1	10	6	13	48	4.4782	122.6171	627.17	7.3	Mw	2.01701E+11
2017	1	10	6	25	44	4.3318	122.6301	623.72	5.1	Mb	2.01701E+11
2017	1	10	6	49	23	15.1722	144.6502	10	4.7	Mb	2.01701E+11
