DateTime	Latitude	Longitude	Depth	Magnitude
2014-03-04	30.8282	141.0478	54.55	5
2014-03-04	39.7475	142.2787	50.07	4.4
2014-03-05	31.3621	138.2167	384.49	4.7
2014-03-06	36.4244	141.0936	45.7	4.5
2014-03-07	30.9021	142.6237	31.71	4.8
2014-03-07	35.6111	140.5515	23.94	4.8
2014-03-08	34.4194	138.7066	199.55	4.2
2014-03-08	36.1613	141.2104	46.13	4.5
2014-03-09	43.3362	145.8604	97.23	4.9
2014-03-10	38.6991	142.2489	54.1	4.5
2014-03-10	29.2711	130.456	35.13	4.7
2014-03-11	35.7225	140.1604	58.52	5
2014-03-12	25.5661	128.623	20.74	4
2014-03-12	36.1992	141.5674	35.06	4.2
2014-03-12	37.0673	144.454	43.17	4.7
2014-03-12	31.0351	131.4596	50.75	4.6
2014-03-13	33.6842	131.8249	79	6.3
2014-03-13	26.8934	140.1225	521.36	4.8
2014-03-14	25.1131	141.6108	513.05	4.9
2014-03-15	27.109	144.5591	37.42	4.6
2014-03-16	35.7253	140.8487	40.27	4.8
2014-03-16	41.6564	144.2794	30.78	4.3
2014-03-16	30.5866	140.1979	5.18	4.7
2014-03-16	30.3183	140.3703	10	4.8
2014-03-16	29.3788	133.7039	15.58	5.8
2014-03-17	37.8305	144.0959	34.97	4.6
2014-03-17	33.7159	141.6497	28.16	4.3
2014-03-17	36.5431	144.1737	36.59	4.5
2014-03-17	36.9353	141.4718	30.24	5
2014-03-17	28.1645	139.3151	419.69	4.4
2014-03-18	28.3454	139.727	455.86	4.3
2014-03-18	35.7043	140.2107	61.52	4.6
2014-03-18	24.8445	124.0219	85	4.5
2014-03-18	31.4006	131.1078	68.92	4.2
2014-03-18	36.8027	141.3978	40.74	4.4
2014-03-19	36.2994	137.3799	275.51	4
2014-03-19	39.7201	141.7001	86.51	4.5
2014-03-19	34.0587	142.1867	33.02	4.7
2014-03-19	45.3986	141.9708	290	4
2014-03-19	34.0501	142.1229	32.98	4.9
2014-03-20	27.1778	143.4485	28.75	4.4
2014-03-20	35.6665	140.867	36.18	4.5
2014-03-21	26.7291	128.2917	32.9	4.4
2014-03-21	27.05	143.578	26.14	4.9
2014-03-22	33.3051	141.2003	7.89	4.6
2014-03-22	31.2552	130.2798	157.41	4.6
2014-03-22	33.6617	131.8645	85.66	4.6
2014-03-22	36.4192	142.5059	36.85	4.7
2014-03-22	29.271	139.3575	411.77	5.4
2014-03-23	31.0733	140.0113	144.65	4.2
2014-03-23	38.7034	143.8805	24.82	4.4
2014-03-25	29.205	141.1654	96.6	4.9
2014-03-25	37.0263	141.4628	58.53	4.5
2014-03-25	39.7734	143.5351	23.98	4.1
2014-03-26	28.1675	131.4725	10	5.6
2014-03-26	28.1404	131.4054	19.07	4.7
2014-03-27	42.7825	142.757	33.11	4.2
2014-03-27	38.3916	142.2325	51.1	4.3
2014-03-28	36.781	144.2728	32.24	4.2
2014-03-29	36.3198	141.8405	20	5.5
2014-03-29	36.0406	141.8881	43.89	4.1
2014-03-29	36.2597	141.9949	33.35	4.4
2014-03-29	37.6784	143.6084	36.62	4.6
2014-03-29	40.9611	143.4325	21.7	4.9
2014-03-29	40.9632	143.4953	19.84	4.4
2014-03-30	35.7615	140.2026	61.38	4.5
2014-03-30	37.1556	142.1876	38.54	4.8
2014-03-31	36.9367	124.4617	17.93	5
2014-04-01	38.2074	141.5725	54.42	4.6
2014-04-01	36.6643	142.2036	34.14	4.2
2014-04-01	37.0142	144.7725	36.83	4.4
2014-04-01	31.1506	128.1716	10	4.7
2014-04-02	26.5865	141.3081	117.53	4.3
2014-04-02	36.4386	141.8504	30.9	4.1
2014-04-02	39.1648	141.8049	58.06	5.5
2014-04-03	32.5421	132.0696	37.4	4.6
2014-04-05	39.1954	142.5572	30.89	5.2
2014-04-05	35.2486	137.0592	49.06	4
2014-04-07	28.8062	129.9304	22.27	4.7
2014-04-07	36.3192	141.6377	29.1	4.3
2014-04-07	37.3491	138.8183	13.1	4.7
2014-04-08	35.3881	140.5847	35	4.4
2014-04-08	36.2452	141.8559	27.51	4.9
2014-04-09	36.1783	142.096	19.73	4.4
2014-04-09	36.7407	141.2914	19.03	4.4
2014-04-09	28.7221	128.4417	42.13	4.3
2014-04-10	35.662	140.2258	68.64	4.4
2014-04-10	35.69	140.0894	73.15	4.7
2014-04-10	35.5381	142.1578	33.37	4.4
2014-04-11	28.3842	129.7121	75.6	4.6
2014-04-11	40.9374	143.11	35.42	4.5
2014-04-12	36.879	142.4397	29.61	4.6
2014-04-13	37.2805	141.2977	55.06	4.8
2014-04-13	24.7532	141.1332	187.85	4.7
2014-04-14	35.5128	141.2117	38.21	4.3
2014-04-15	35.9985	142.0325	33.42	4.3
2014-04-15	36.2309	140.9314	44.87	4.7
2014-04-15	43.5529	144.0868	83.69	4
2014-04-16	30.1861	138.7702	422.24	4
2014-04-16	39.2263	142.2172	35	4.4
2014-04-16	36.1115	142.0417	31.82	4.4
2014-04-16	38.3076	141.9979	48.37	4.6
2014-04-16	37.0759	143.4667	32.24	4.6
2014-04-16	37.2962	142.067	44.82	4.9
2014-04-17	37.493	142.2421	27.25	4.1
2014-04-17	37.4254	142.2446	31.96	5.2
2014-04-17	36.0833	139.8494	66.96	4.7
2014-04-18	42.5842	142.2137	108.55	4.7
2014-04-18	26.1493	124.8444	185.83	4
2014-04-19	38.0883	142.0106	79.03	4.5
2014-04-20	33.0235	137.521	352.84	4.3
